	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
rrfD	5	3	2	9	3	5	14	10	0	12	0	0
rrfE	1	2	1	4	1	2	5	6	0	0	0	3
rrfF	0	1	3	6	4	2	3	11	0	13	0	1
rrfG	4	3	2	5	1	2	4	7	1	2	3	0
rrfH	6	3	2	4	3	1	7	9	1	0	0	3
rrlA	2844	2767	1699	3410	3247	3564	1951	4068	1179	983	539	402
rrlB	2313	2119	2209	2743	2533	2557	1823	3781	1151	827	466	429
rrlC	3070	2774	2222	3429	3630	3912	2005	4703	1649	1042	659	548
rrlD	1289	1263	4523	1465	1019	1380	1797	1897	1784	1008	227	651
rrlE	2080	2077	3196	2739	2308	2636	1806	3435	1229	901	475	396
rrlG	1294	1632	990	1611	1187	3269	1302	2123	652	542	244	249
rrlH	2074	2200	1826	2649	1961	2468	1714	3383	1059	778	382	335
rrrD	0	2	6	6	4	3	5	10	0	0	1	0
rrrQ	6	1	14	9	9	18	10	40	0	1	0	0
rrsA	627	685	579	870	522	784	675	1079	288	265	118	69
rrsB	641	684	578	901	532	784	737	1073	330	276	114	89
rrsC	694	781	626	928	619	829	779	1322	327	280	121	95
rrsD	498	518	446	776	487	575	508	864	271	186	105	99
rrsE	689	692	567	917	594	788	830	1137	342	295	115	97
rrsG	460	655	412	658	420	548	516	778	232	203	83	63
rrsH	740	836	617	988	639	836	860	1219	336	296	112	84
rsd	236	275	298	353	168	230	179	513	1	5	2	3
rseA	443	718	1048	946	350	654	807	2431	30	33	13	10
rseB	390	537	747	637	249	470	517	1268	19	19	2	7
rseC	109	155	191	142	73	108	156	317	3	4	0	1
rseD	2225	2046	2151	1789	1889	1953	1444	2115	1	5	1	1
rseP	628	820	985	800	496	778	677	1481	18	22	9	10
rseX	42	60	42	27	43	49	19	37	0	0	0	0
rsfS	117	135	255	171	86	123	186	355	1	2	1	0
rsgA	1379	1631	1868	1687	923	1413	1321	2732	21	24	12	7
rsmA	999	1137	1224	1075	807	1175	732	1926	23	17	10	3
rsmB	695	1022	612	625	548	959	416	1296	17	21	10	7
rsmC	49	55	74	55	38	44	55	151	2	2	1	0
rsmD	90	132	145	173	70	108	108	229	0	8	1	0
rsmE	483	625	553	549	381	549	349	854	7	16	3	4
rsmF	69	86	113	93	48	49	120	141	0	2	0	1
rsmG	204	223	438	354	185	256	353	749	2	0	0	0
rsmH	4184	4309	3271	3472	3078	4043	2270	3855	26	23	6	5
rsmI	341	278	401	408	259	309	293	477	0	3	0	0
rsmJ	47	80	118	83	39	57	82	170	2	2	0	1
rspA	12	18	40	25	8	8	16	41	0	0	0	0
rspB	9	5	12	19	3	6	11	23	0	0	0	0
rspR	780	1176	1830	1423	644	1152	875	2231	10	8	3	2
rssA	2135	2512	1465	1698	1759	2265	838	1385	18	23	3	2
rssB	800	1078	580	680	701	1057	307	696	16	16	5	5
rstA	43	43	76	61	23	33	61	149	1	3	0	1
rstB	42	65	103	96	46	49	87	160	0	3	0	0
rsuA	404	626	1101	759	342	517	535	1303	4	5	2	3
rsxA	461	401	2029	1367	423	440	1420	1446	3	2	1	2
rsxB	67	65	240	190	42	51	163	318	3	1	0	0
rsxC	157	235	1266	1078	151	223	1133	1965	3	2	3	0
rsxD	61	94	624	543	57	105	494	1009	6	1	0	1
rsxE	22	43	322	290	23	36	194	399	1	2	0	0
rsxG	49	65	486	475	36	59	301	715	3	5	2	1
rtcA	394	368	283	255	300	362	177	244	1	2	1	0
rtcB	779	727	462	461	580	758	353	539	2	0	0	3
rtcR	34	43	41	37	28	37	22	43	2	0	0	0
rttR	19	23	20	17	8	12	34	47	1	0	0	0
rusA	1	3	2	0	3	1	0	1	0	0	0	0
rutA	1	2	1	0	1	2	1	0	0	0	0	0
rutB	1	1	0	2	1	0	1	1	0	0	0	0
rutC	0	1	3	2	1	1	0	4	0	0	0	0
rutD	3	4	5	3	3	1	4	5	0	0	0	0
rutE	3	4	3	4	3	4	2	6	0	0	0	0
rutF	5	13	6	8	4	10	3	6	1	0	0	0
rutG	169	148	113	101	149	113	55	94	2	0	0	0
rutR	66	71	79	72	58	76	100	126	1	4	1	1
ruvA	449	464	697	668	336	442	412	784	7	10	4	4
ruvB	634	755	901	872	500	646	473	982	8	10	3	6
ruvC	106	156	336	332	69	153	244	799	3	14	1	2
rybA	260	422	563	456	191	351	443	891	5	9	7	3
rybB	36357	24419	39904	45375	31938	32315	35293	63647	13	8	10	6
rydB	18	25	11	13	20	15	18	40	0	1	0	0
rydC	209657	157706	507509	218699	214119	246112	401711	424129	220	23	62	57
ryeA	448	442	390	523	362	434	434	447	1	1	2	0
ryeG	626	690	1268	858	676	828	950	1951	3	0	0	0
ryfA	25	24	33	34	33	23	33	51	1	3	2	0
ryfD	1551	2079	1864	1268	1574	2169	1613	3730	97	121	116	47
ryhB	2873	1514	1994	1808	1366	1920	1267	2410	1	0	0	1
ryjA	20	16	21	17	16	25	13	18	0	0	1	0
ryjB	467	439	340	341	441	431	366	364	5	12	6	5
rzoD	1	1	2	2	168	292	98	319	1	0	6	1
rzoQ	2	2	3	2	7	3	7	6	0	0	0	0
rzoR	4	3	4	0	242	391	127	317	2	0	13	4
rzpD	1	2	3	4	201	366	144	390	3	0	6	2
rzpQ	6	2	5	3	13	4	11	13	0	1	0	0
rzpR	4	3	5	0	255	400	137	329	2	0	14	4
sad	138	163	133	125	85	130	90	213	3	3	0	0
safA	0	0	0	0	0	1	0	0	0	0	0	0
sanA	284	264	334	283	272	292	240	336	2	0	0	0
sapA	409	498	411	385	294	435	316	696	7	10	5	2
sapB	155	173	222	175	104	156	132	262	1	3	0	0
sapC	141	189	269	239	109	174	173	387	3	6	1	0
sapD	98	156	200	228	77	142	143	390	0	7	1	3
sapF	91	133	189	180	50	97	108	426	2	3	1	4
satP	203	202	227	238	150	196	148	233	1	0	0	0
sbcB	893	1196	1078	1167	660	974	626	1522	21	20	4	2
sbcC	575	814	1032	1044	422	686	683	1445	8	13	2	4
sbcD	86	134	142	95	82	112	82	258	5	2	1	2
sbmA	1540	1405	1854	1553	1309	1438	1481	2055	2	3	0	3
sbmC	1025	1170	807	983	754	1063	373	662	10	19	2	4
sbp	228	308	236	250	226	317	157	418	1	4	2	1
scpA	21	22	19	14	13	25	7	49	0	2	0	0
scpB	6	13	17	4	5	9	17	17	1	1	0	0
scpC	18	34	21	24	16	31	9	29	0	2	0	0
sdaA	522	881	572	509	384	669	456	1126	20	25	5	4
sdaB	354	485	3419	3081	251	459	2679	6278	29	17	8	5
sdaC	369	498	2196	1722	223	491	2164	5318	29	23	6	2
sdhA	2079	2422	7847	7496	1064	1588	5128	14894	55	39	17	14
sdhB	630	808	1984	2122	346	522	1485	4227	16	12	5	6
sdhC	1107	936	5389	4083	748	875	3596	4712	5	5	2	1
sdhD	666	608	2437	2036	414	447	2062	2816	4	2	3	2
sdhE	965	1062	1173	1114	843	1053	833	1346	8	6	1	6
sdhX	57653	66948	58690	39864	47036	77704	52129	80391	148	48	19	31
sdiA	124	132	156	99	116	130	89	153	1	1	1	0
sdsN	654	517	843	583	579	589	701	740	2	0	0	1
sdsR	38635	31971	5020	3063	40198	46980	4103	4966	12	4	3	3
secA	3578	5614	5093	4334	2567	5019	2812	9744	83	114	35	42
secB	1440	1754	1915	1622	1048	1556	1407	3189	27	14	4	5
secD	1468	1766	2793	2533	983	1483	2053	4446	17	40	15	12
secE	389	422	679	540	278	402	457	973	8	11	1	2
secF	321	393	663	574	248	337	560	1170	8	14	3	0
secG	168	205	272	238	125	225	193	671	5	11	4	4
secM	3048	3868	4592	3543	2756	3902	2630	6623	44	43	19	16
secY	2037	2917	11184	11824	1690	2529	7224	17004	195	171	71	50
selA	1045	1192	835	980	798	1143	455	1222	19	38	6	7
selB	1264	1615	976	1135	1000	1358	538	1322	24	36	10	8
selC	120	93	87	186	144	139	165	201	75	89	58	38
selD	1797	2109	1659	1941	1213	1671	1136	2279	23	33	10	8
selO	507	652	1165	1096	414	570	896	1757	10	7	2	2
selU	62	93	109	71	59	90	48	158	1	1	2	0
seqA	306	407	425	380	196	284	353	719	2	6	2	1
serA	1865	2092	3251	3024	1315	2006	2324	4281	17	13	2	9
serB	265	288	393	393	159	238	268	527	3	4	0	2
serC	1285	1453	2041	1752	1001	1331	1420	2384	15	9	3	0
serS	3237	4213	3149	3444	2399	3948	2118	5769	149	156	51	44
serT	1028	1280	1003	2033	1671	1384	2439	3052	890	835	952	358
serU	46	43	59	116	82	68	154	140	31	49	20	17
serV	561	602	401	1174	906	627	1208	1659	600	443	606	217
serW	2440	2421	1343	7283	4855	3207	2531	7494	3258	3294	3777	1217
serX	1459	1501	887	4483	2503	1877	1648	4151	1567	1686	1823	668
setA	174	248	196	156	153	206	173	222	4	0	2	0
setB	335	390	655	602	349	400	301	530	3	2	3	2
setC	10	11	11	8	15	17	15	13	0	0	0	1
sfmA	1	0	0	0	0	1	0	0	0	0	0	0
sfmC	0	0	0	0	0	0	0	0	0	0	0	0
sfmD	8	12	14	10	8	13	19	21	1	0	0	1
sfmF	28	23	73	58	45	35	45	56	0	0	0	0
sfmH	0	0	0	0	1	1	0	1	0	0	0	0
sfsA	886	1184	503	554	741	1135	252	672	15	18	10	5
sfsB	4	11	20	10	6	13	9	32	2	0	0	0
sgbE	5	16	4	6	8	14	9	18	0	0	0	0
sgbH	9	24	8	6	11	15	9	19	0	1	0	0
sgbU	29	39	13	13	13	25	10	19	0	1	0	0
sgcA	39	53	11	16	26	81	7	27	2	4	3	1
sgcB	11	17	2	2	13	20	5	8	1	1	0	1
sgcC	82	99	23	38	41	99	11	33	0	1	2	2
sgcE	34	49	12	8	45	40	13	14	1	2	0	1
sgcQ	22	39	5	10	10	33	4	8	1	0	1	0
sgcR	16	20	12	8	30	37	10	22	0	0	0	0
sgcX	57	65	16	19	43	90	17	41	2	2	2	3
sgrR	362	439	401	358	267	341	203	471	10	11	4	0
sgrS	11249	9874	6613	4181	9595	13097	3926	6868	5	1	2	4
sgrT	2559	2276	1415	968	1949	2405	1014	1657	3	0	2	2
shiA	1665	1442	2537	2130	1444	1551	1476	2014	5	4	1	4
shoB	3	1	1	3	1	3	4	4	0	0	0	0
sibA	223	207	121	106	240	256	115	119	16	8	17	2
sibB	2000	1765	1431	1773	1609	1688	1051	1096	49	29	59	22
sibC	24	27	27	34	30	27	29	51	6	2	3	0
sibD	209	228	128	129	130	175	137	172	2	8	4	0
sibE	100	78	88	62	75	87	67	111	10	18	9	2
sieB	0	3	4	5	6	3	10	3	0	0	0	0
sixA	45	73	62	59	35	69	45	137	2	1	0	1
skp	1092	1589	2104	2081	838	1348	2038	4371	34	29	8	7
slmA	358	366	1036	879	296	390	656	1268	9	2	0	1
slp	3	3	2	0	0	8	1	13	0	1	0	0
slt	734	882	527	638	485	668	408	854	15	14	4	4
slyA	311	492	506	440	243	472	336	996	2	7	2	0
slyB	815	885	685	642	647	864	597	866	9	12	3	6
slyD	707	811	744	722	421	637	576	1489	25	26	4	10
slyX	61	61	53	39	41	39	39	93	1	2	0	0
smf	425	536	375	431	320	503	237	565	6	11	0	0
smg	1893	2434	1949	2226	1544	2033	1105	2242	25	34	9	5
smpB	2820	3008	3103	2204	2701	3442	1982	4383	22	16	5	4
smrA	42	37	37	25	19	33	29	79	1	1	0	1
smrB	1780	1662	2371	2689	1559	1940	1765	2443	7	5	5	0
sodA	1623	1935	2195	1952	975	1617	1871	4320	40	33	12	8
sodB	5949	8811	9522	8138	4782	9143	6082	16684	142	98	39	54
sodC	408	596	229	272	284	527	107	424	12	11	1	6
sohB	956	1102	1216	1227	813	1137	740	1399	7	10	1	5
sokA	0	0	1	1	2	0	0	1	0	0	1	0
sokB	190	215	216	200	197	273	174	317	10	20	9	2
sokC	109	71	27	30	67	65	48	86	2	0	3	0
sokE	105	150	192	110	121	152	292	173	0	1	0	0
sokX	39	28	77	36	51	37	72	52	0	0	0	0
solA	298	323	404	295	347	419	466	626	5	2	1	1
soxR	14	13	22	12	13	15	13	30	1	0	1	0
soxS	408	399	496	351	303	440	566	1197	3	1	2	1
speA	673	941	1399	1248	487	959	1042	2877	30	48	9	8
speB	194	271	231	264	163	249	193	407	7	7	3	0
speC	407	457	761	736	378	499	549	836	4	4	1	2
speD	224	321	1292	994	230	357	850	2593	13	7	1	1
speE	185	237	873	690	135	213	658	1647	4	4	0	0
speF	4	4	4	8	5	4	4	9	1	1	0	0
speFL	0	0	0	0	0	1	0	0	0	0	0	0
speG	214	347	353	288	158	299	225	807	7	5	2	1
spf	73147	74867	107092	52204	78813	91739	94286	133492	129	18	26	28
spfP	72381	74064	106349	51659	77963	90899	93545	132368	129	18	25	28
spoT	504	648	1165	938	298	607	771	2265	27	29	7	9
sppA	948	987	1488	1498	722	866	872	1599	6	2	1	3
spy	56	80	72	54	76	104	66	219	0	3	1	1
spy_3'	15	11	10	4	9	20	10	18	1	2	2	1
sra	515	594	234	159	481	730	155	440	1	7	1	4
sraA	2	2	1	1	1	2	0	2	0	0	0	0
sraB	11	15	24	21	15	18	37	49	1	0	0	0
sraG	1	0	4	0	1	1	1	1	0	0	0	0
srkA	353	363	535	438	322	398	518	1226	13	7	7	4
srlA	780	1106	611	708	891	1285	380	502	7	21	7	3
srlB	229	406	72	88	207	444	50	82	12	12	3	4
srlD	580	1012	111	115	435	974	70	168	8	23	11	4
srlE	985	1435	345	523	854	1468	148	428	30	32	15	9
srlR	705	878	387	538	473	791	242	544	14	16	10	8
srmB	638	645	1106	1013	427	777	876	1767	10	16	4	2
sroA	79	75	59	85	92	81	69	80	1	2	0	0
sroC	620329	457939	481245	464935	408773	549057	307610	382935	425	46	86	208
sroD	8998	7569	3219	2503	6161	7148	2966	2726	1	0	3	10
sroE	144	201	287	212	171	171	166	455	1	3	0	0
sroH	3999	3168	3008	2395	3825	3704	2072	2122	8	6	6	4
srsR	24	34	30	32	24	48	28	49	0	0	1	0
ssb	264	294	469	388	253	339	479	927	8	7	1	4
sseA	993	1072	717	846	677	941	500	1098	21	29	7	8
sseB	407	486	980	1077	241	350	485	1593	10	14	2	1
ssnA	94	144	9	10	133	210	3	17	18	19	4	6
sspA	619	850	780	654	514	751	446	1530	48	44	14	11
sspB	330	447	380	283	250	365	253	713	16	14	6	12
ssrA	2364	1932	1719	3539	3259	2565	2523	3573	1495	1214	784	706
ssrS	1225	1117	862	1402	1246	1245	1306	1584	440	562	413	208
sstT	10561	9906	17241	16891	8566	9938	12134	13795	37	9	4	24
ssuA	2	2	1	1	1	4	1	4	0	0	0	0
ssuB	31	27	26	42	25	33	21	45	0	2	0	0
ssuC	3	11	4	7	4	5	10	10	0	0	0	0
ssuD	2	15	11	10	8	10	12	15	0	0	0	0
ssuE	0	2	0	2	1	5	2	2	0	0	0	0
stf	16	0	2	0	7333	10294	2326	5593	20	1	535	119
stfE	1	2	0	0	0	1	0	6	0	0	0	0
stfQ	6	4	6	3	5	13	8	19	0	0	0	0
stfR	50	44	44	47	29	59	41	81	0	0	1	0
stfZ	1	0	0	0	1	0	0	1	0	0	0	1
sthA	1285	1525	2793	2691	881	1352	2531	6154	43	28	9	17
stpA	14	9	28	21	11	17	66	58	0	0	0	0
sucA	24362	30112	32610	33462	11659	20953	17093	53911	265	310	72	78
sucB	20333	29366	23108	23940	10791	21075	11000	43257	292	292	68	72
sucC	22124	31658	20900	21720	11713	22749	12543	41815	241	222	33	57
sucD	42180	52231	39976	35201	25678	40474	19680	67179	244	196	51	112
sufA	72	61	74	70	34	76	46	122	1	2	0	0
sufB	512	635	479	462	281	579	283	822	9	12	4	1
sufC	189	301	205	212	122	303	142	507	2	9	0	2
sufD	271	445	288	313	160	349	188	625	8	16	2	3
sufE	49	69	57	50	34	78	32	126	2	1	0	0
sufS	243	399	248	317	153	334	133	533	13	9	4	2
suhB	49	70	228	114	32	46	203	395	4	2	1	0
sulA	268	317	351	273	209	313	159	478	4	6	2	0
surA	588	1070	941	851	402	832	689	1891	25	62	13	12
sutR	66	66	88	84	38	55	86	125	1	1	0	0
sxy	84	94	53	56	52	96	48	108	1	2	2	1
syd	70	82	70	68	50	84	60	145	1	0	0	0
symE	5	3	7	3	4	3	7	21	0	0	0	0
symR	12	13	22	20	10	19	30	53	0	1	0	0
tabA	995	944	520	532	727	966	337	588	9	10	7	1
tadA	117	147	171	153	75	148	71	211	1	6	0	2
tag	258	272	160	174	191	257	84	235	1	3	1	1
talA	547	881	129	170	357	784	105	219	11	15	10	2
talB	4755	6533	6308	6254	3336	6042	4493	11973	131	124	38	51
tam	183	218	55	70	116	191	38	98	3	1	4	4
tamA	954	1038	994	1075	678	941	748	1426	13	13	6	2
tamB	2457	2573	2531	2824	1790	2405	1899	3098	22	27	7	4
tap	21614	24512	18641	19335	17725	23424	11035	23968	295	638	119	74
tapT	325	322	628	426	289	320	399	595	2	4	1	0
tar	32335	29975	27965	26400	25667	33247	16638	34192	271	520	105	88
tas	678	987	634	587	404	736	461	1074	11	11	5	1
tatA	194	224	248	232	103	210	197	562	10	8	1	3
tatB	552	658	685	753	339	554	417	1344	17	41	4	6
tatC	436	608	655	687	354	548	422	1078	11	15	10	6
tatD	185	254	251	254	175	223	171	344	8	7	0	2
tatE	166	189	178	252	146	210	172	266	1	2	0	0
tauA	3	5	4	3	0	7	8	10	0	0	1	0
tauB	6	11	5	5	0	9	2	9	0	1	0	0
tauC	22	12	16	12	13	20	6	15	0	1	0	0
tauD	15	10	10	8	5	18	14	25	0	0	0	0
tcdA	519	586	840	720	377	513	621	778	5	1	0	0
tcyJ	8988	9401	8582	8524	6780	9197	4732	11723	52	72	14	21
tcyL	788	752	668	560	636	736	451	779	4	4	1	1
tcyN	1217	1294	1122	1199	1016	1341	728	1474	9	7	6	6
tcyP	365	434	427	404	259	335	250	426	3	1	1	0
tdcA	20019	16011	7584	11578	16260	16031	3094	6431	86	98	33	22
tdcB	22196	22664	3782	6422	19570	21813	1120	3772	408	632	155	146
tdcC	19990	19046	2788	3985	20739	19548	726	2310	549	912	230	187
tdcD	3069	3637	190	383	3248	4115	98	296	270	434	108	82
tdcE	2248	2601	139	181	2916	4031	119	245	503	770	219	141
tdcF	153	196	26	29	179	303	17	43	48	72	18	17
tdcG	5139	2931	3997	3234	3716	3953	3299	6487	110	116	42	27
tdcR	4	5	1	1	5	6	4	2	0	0	0	0
tdh	17728	18337	7008	9548	10750	14805	4129	9415	74	56	24	24
tdk	97	91	159	88	124	153	171	219	0	0	0	0
tehA	1233	1287	1498	1604	1072	1256	1138	1545	9	4	0	1
tehB	310	394	392	444	227	346	253	608	3	2	1	1
tesA	158	199	174	135	131	168	81	203	2	3	2	1
tesB	471	533	503	413	415	522	324	505	4	1	1	0
tfaD	5	7	6	7	333	419	160	312	2	0	8	6
tfaE	1	0	1	2	0	0	1	5	0	0	0	0
tfaP	2	0	2	2	2	1	3	2	0	0	0	0
tfaQ	14	12	8	7	147	302	64	169	0	0	15	1
tfaR	12	22	4	10	163	331	78	238	0	0	13	3
tfaS	32	44	34	20	22	49	17	66	1	0	0	1
tfaX	1	2	2	0	2	8	1	9	0	0	0	0
tff	43	109	512	343	30	107	486	1203	16	7	7	6
tgt	662	781	1431	949	653	738	948	1908	8	6	0	3
thiB	154	133	185	151	113	129	112	192	0	2	1	0
thiC	123	132	144	138	83	110	103	210	3	3	2	0
thiD	5	6	14	16	16	11	9	20	0	1	0	0
thiE	46	48	49	33	24	37	29	56	0	2	0	0
thiF	32	35	33	34	12	27	25	39	0	0	0	0
thiG	38	50	43	41	22	32	25	71	1	4	0	0
thiH	42	46	47	48	25	31	25	64	1	2	0	0
thiI	80	153	334	236	73	170	216	547	5	3	1	1
thiK	242	307	251	207	189	256	202	332	4	4	3	1
thiL	197	223	240	210	126	192	192	385	11	6	3	1
thiM	55	52	82	46	47	52	63	87	1	1	3	1
thiP	183	145	357	269	147	155	232	338	0	2	0	0
thiQ	34	48	124	89	28	49	58	147	1	1	0	0
thiS	7	10	13	8	6	8	9	15	0	0	0	0
thpR	23	38	68	49	27	38	38	77	2	2	0	0
thrA	385	433	1518	1405	267	303	1149	2192	8	6	3	0
thrB	666	856	1288	1363	415	716	754	1848	9	14	5	6
thrC	743	845	1327	1231	427	698	782	1801	16	7	6	3
thrL	823	740	2315	1458	739	759	1867	2358	9	0	0	0
thrP	436	472	915	722	325	435	566	1162	2	0	1	0
thrS	4773	6818	8255	7295	3657	6656	5364	15481	192	245	93	65
thrT	1118	1169	2098	2997	1204	1290	2132	2597	601	730	619	205
thrU	1477	1824	1222	2854	2042	1850	1192	3137	1075	1789	1255	338
thrV	818	811	1151	2349	1210	1097	1969	2281	784	1033	853	320
thrW	188	217	194	575	336	304	380	457	186	378	237	79
thyA	1256	1418	2010	1684	1049	1346	1244	2294	18	6	4	9
tig	1631	2101	6542	6119	1147	2105	4153	10875	69	45	19	34
tilS	139	234	200	175	106	200	144	250	6	5	3	1
timP	17	10	25	26	24	15	25	35	1	3	2	0
timR	25	36	26	26	23	36	24	59	0	0	1	0
tisB	26	33	27	18	21	33	20	51	1	3	1	2
tktA	1344	1764	1825	1592	741	1468	1457	4528	65	82	27	25
tktB	814	1328	171	164	527	1047	123	283	12	20	10	7
tldD	1080	1481	1430	1451	783	1282	783	2239	23	17	7	12
tldE	933	1133	854	1004	694	1050	652	1288	11	16	8	5
tmaR	709	778	537	589	481	999	500	1292	11	5	3	0
tmcA	1488	1547	1180	1102	1251	1482	822	1162	12	8	3	3
tmk	178	267	259	244	121	253	206	501	9	4	0	1
tnaA	154069	241553	70327	72153	117136	213805	46956	128189	4746	5079	1783	1792
tnaB	113054	110687	38896	37010	100039	102334	20673	29973	435	421	156	155
tnaC	12190	15711	5074	4946	8948	13603	2754	7003	183	173	86	50
toiL	41	52	94	55	45	30	67	101	3	0	0	0
tolA	530	537	995	1096	360	639	799	1376	3	4	2	2
tolB	5518	5128	18256	17012	4025	4730	12935	16517	28	16	7	14
tolC	1227	1791	1304	1080	879	1611	931	2651	37	66	27	24
tolQ	95	134	170	131	60	114	118	297	2	3	3	0
tolR	56	66	132	95	44	70	72	255	2	3	1	1
tomB	67	103	186	125	80	132	179	382	3	1	0	0
tonB	72	70	336	331	32	67	155	429	0	0	0	1
topA	654	952	2141	1961	459	815	1427	4137	25	24	12	4
topAI	53	57	76	60	40	68	49	150	0	2	0	0
topB	1990	2395	2355	2618	1489	2002	1132	3047	42	47	10	13
torA	45	47	33	48	27	60	39	69	0	0	0	0
torC	17	18	11	14	11	22	8	31	0	0	0	0
torD	29	30	32	29	17	25	8	52	0	1	0	0
torI	114	163	202	145	117	212	131	354	8	3	0	0
torR	22	22	30	24	18	22	28	47	2	1	1	0
torS	100	162	144	127	99	133	83	183	3	3	0	1
torT	162	166	126	187	130	175	67	160	2	1	1	4
torY	4	2	6	7	5	13	7	16	0	0	0	0
torZ	59	71	71	71	41	73	53	161	0	0	1	0
tp2	11	7	11	4	6	11	9	8	0	0	0	0
tpiA	817	1182	572	600	567	1024	398	1399	45	44	20	18
tpke11	41	35	202	116	19	40	169	604	4	1	1	1
tpke70	2	0	1	1	1	5	5	4	0	0	1	0
tpr	19	20	19	17	7	11	29	39	1	0	0	0
tpx	862	1161	1242	1070	612	915	938	2773	37	27	10	6
tqsA	134	155	89	124	122	176	118	139	1	1	0	2
tra8-2	390	547	545	630	309	548	429	816	6	3	0	1
treA	291	399	41	58	188	356	26	68	3	7	3	1
treB	10742	12163	10013	9832	7168	10251	5870	13544	257	369	95	78
treC	8663	12152	8029	8070	5855	9630	4594	13004	224	354	87	68
treF	413	472	152	158	289	485	107	208	4	5	3	2
treR	42	63	62	61	53	43	36	126	1	1	0	1
trg	5350	5877	5109	5647	3984	5712	2619	7071	76	85	19	16
trhA	818	929	857	984	676	755	540	1193	12	12	2	6
trhO	85	84	321	255	60	88	370	521	1	0	0	0
trhP	84	134	219	198	78	123	185	442	4	1	1	0
trkA	310	491	432	395	235	428	312	797	10	16	4	1
trkG	237	238	402	285	234	267	278	377	0	0	0	0
trkH	1450	1592	1628	1414	1167	1382	906	1766	15	15	3	4
trmA	142	153	157	148	75	119	157	316	3	3	1	1
trmB	220	256	280	257	128	233	256	481	7	2	1	1
trmD	163	290	1616	1299	173	379	1064	3128	41	35	10	14
trmH	74	157	325	256	67	138	218	761	14	9	3	1
trmJ	1557	2270	1526	1398	1266	2049	980	2691	37	33	12	11
trmL	28	42	26	11	17	27	14	42	1	0	0	1
trmO	113	153	192	139	78	164	132	410	6	3	2	2
trpA	281	274	242	232	191	187	161	382	7	2	0	1
trpB	414	409	536	459	273	320	294	734	3	6	0	1
trpC	1153	1206	3090	2346	1178	1200	1660	2417	3	7	0	1
trpD	253	282	612	523	241	293	338	516	1	1	0	1
trpE	411	448	1013	1120	544	572	921	1243	6	1	1	0
trpL	143	125	105	89	160	174	64	137	4	0	0	0
trpR	70	85	67	81	49	75	46	143	2	2	0	0
trpS	252	365	476	375	143	295	341	1106	9	10	4	1
trpT	3009	2863	5852	6007	2728	3336	7796	8244	715	605	614	277
truA	3567	3957	6095	6516	3032	3671	4520	5741	15	14	5	2
truB	268	458	970	1028	231	420	592	1698	12	11	4	2
truC	99	120	135	123	88	117	93	209	0	1	2	0
truD	443	695	719	719	339	492	543	1215	6	11	1	2
trxA	1256	1289	1554	1612	890	1252	1518	2087	13	11	3	4
trxB	298	334	1140	949	196	302	1009	2081	7	6	0	3
trxC	175	177	290	233	140	193	255	513	0	5	1	1
tsaB	105	110	281	177	56	96	221	467	3	2	1	1
tsaC	1653	1862	1437	1724	1549	1795	754	1286	9	9	4	2
tsaD	70	94	156	134	79	103	134	242	2	0	0	0
tsaE	251	297	161	167	169	272	128	253	1	9	0	0
tsf	538	805	2912	2867	397	749	1956	6251	52	52	18	29
tsgA	29	29	32	25	13	24	48	52	1	0	0	1
tsr	3336	3723	9085	8826	3020	4445	7610	15170	80	74	30	18
tsuA	17	19	31	42	12	22	23	26	0	0	0	0
tsuB	1	2	7	10	0	6	4	24	0	1	0	0
tsx	703	1121	1151	943	497	938	894	2193	29	11	6	1
ttcA	207	287	551	484	157	269	435	779	3	4	0	0
ttcC	41	36	48	29	43	48	15	81	0	0	0	0
ttdA	0	3	3	5	0	0	1	4	0	1	0	0
ttdB	6	7	6	5	2	3	3	14	0	0	0	0
ttdR	160	180	102	124	126	198	77	117	0	5	0	0
ttdT	4	6	6	4	7	9	6	4	0	0	0	0
tufA	2611	4088	10471	9289	1936	3860	7493	27322	333	236	107	101
tufB	2782	4333	8985	8670	1882	4042	7270	22359	308	231	108	110
tus	137	134	214	186	93	146	120	289	1	1	0	0
tusA	23	32	37	25	21	21	37	42	1	0	0	0
tusB	402	464	526	409	324	431	332	538	4	5	3	0
tusC	383	370	468	349	285	334	305	334	0	1	0	0
tusD	606	595	632	600	425	576	440	614	3	7	2	0
tusE	20	25	54	26	25	38	26	80	1	0	1	1
tynA	35	43	33	37	31	29	21	51	1	0	0	0
tyrA	337	373	399	324	268	403	235	514	5	7	6	1
tyrB	236	330	267	285	168	264	201	499	6	7	1	2
tyrP	150	140	378	268	117	146	289	355	0	0	0	0
tyrR	6146	6708	5359	6697	4662	5964	3223	5806	44	37	12	15
tyrS	1670	1731	3048	2869	1231	1803	1950	4617	29	20	5	4
tyrT	112	109	70	306	342	170	119	460	87	98	265	36
tyrU	171	165	132	353	268	234	187	619	261	160	205	66
